Country,Rank,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Prison Population,Homeless People due to Natural Disaster,Life expectancy at birth (years),EPI,Infant mortality rate,Education Index,Total
United States,158th,2.8,4,5,2.8,4.8,1.5,2.4,2.1,3.7,3,2.1,1.1,7.18,7.18,6.82,8.3505,1.09,7.66,Stable
Uruguay,155th,3.7,2.7,3,3.2,4.2,4.4,1.4,3.4,2.2,3.5,1.9,2.9,7.79,7.79,5.97,8.2205,0.52,7.17,Sustainable
Austria,167th,1.1,2.7,4.3,2.2,3.4,1.5,1.4,1.6,1.7,2.4,2,1.7,9.37,9.37,8.24,6.0705,0.32,9.39,Sustainable
Japan,157th,1.4,2.6,4.2,4.6,1.9,2.6,1.7,2.1,3.4,4.8,3.1,3.6,8.98,8.98,8.24,6.4185,0.3,8.7,Sustainable
Australia,170th,2.1,1.6,4.4,2.1,2.7,1,1.1,2,2.4,1.8,2.1,1,7.41,7.41,7.47,2.9535,1.32,7.3,Sustainable
United Kingdom,161st,2.5,3.5,5.6,3.9,3.7,2.1,2,2.1,1.8,2.6,2.4,1.2,4.84,4.84,7.54,8.481,3.62,4.89,Sustainable
Belgium,163rd,2,3.9,4.1,4.5,3.2,1.9,1.9,2.1,1.2,2.5,1.6,1.5,7.98,7.98,7.13,5.4395,0.35,8.33,Sustainable
Singapore,159th,1.6,4,3.1,2.5,4,3.3,3.8,1.8,4.6,2.9,1.1,1.7,7.35,7.35,7.38,6.928,3.27,6.77,Sustainable
Denmark,175th,1.5,1.4,3.6,2.5,2.1,1.9,0.5,1.4,1.3,2.5,1.4,1.4,4.66,4.66,5.15,3.5895,6.85,4.06,Sustainable
Portugal,164th,1.6,1.8,2.6,5.1,2.9,2.2,1.8,2.7,2.3,2.6,1.6,2.5,7.85,7.85,7.29,7.3705,1.47,6.91,Sustainable
